@HD	VN:1.0	SO:unknown
@SQ	SN:gi|554771813|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|591	LN:591
@SQ	SN:gi|554771875|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|597	LN:597
@SQ	SN:gi|554771600|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|597	LN:597
@SQ	SN:gi|554771420|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|600	LN:600
@SQ	SN:gi|554770457|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|594	LN:594
@SQ	SN:gi|554770457|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|570	LN:570
@SQ	SN:gi|554771875|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|573	LN:573
@SQ	SN:gi|554771420|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|582	LN:582
@SQ	SN:gi|554771420|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|630	LN:630
@SQ	SN:gi|554771600|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|627	LN:627
@SQ	SN:gi|554771813|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|630	LN:630
@SQ	SN:gi|554770225|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|612	LN:612
@SQ	SN:gi|554771420|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|615	LN:615
@SQ	SN:gi|554771600|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|603	LN:603
@SQ	SN:gi|554771875|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|627	LN:627
@SQ	SN:gi|554770365|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|513	LN:513
@SQ	SN:gi|554771600|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|516	LN:516
@SQ	SN:gi|554770632|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|480	LN:480
@SQ	SN:gi|554770457|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|486	LN:486
@SQ	SN:gi|554771067|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|483	LN:483
@SQ	SN:gi|554770365|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|549	LN:549
@SQ	SN:gi|554771600|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|564	LN:564
@SQ	SN:gi|554770457|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|556	LN:556
@SQ	SN:gi|554771875|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|558	LN:558
@SQ	SN:gi|554770632|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|543	LN:543
@SQ	SN:gi|554771067|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|744	LN:744
@SQ	SN:gi|554770632|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|747	LN:747
@SQ	SN:gi|554770225|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|741	LN:741
@SQ	SN:gi|554771600|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|753	LN:753
